,Title,Citation,Task,Metric,Model,Description,Architecture,Result,Comment
,EEG-GAN: Generative adversarial networks for electroencephalograhic (EEG) brain signals,Hartmann2018,EEG generation,,,,,,No accuracy
,Know Your Mind: Adaptive Brain Signal Classification with Reinforced Attentive Convolutional Neural Networks,Zhang2018a,MIR,accuracy,arch1,model,CNN,0.9932,Has both baseline comparisons and SOTA comparisons... I ended up using baseline comparisons.
,,Zhang2018a,MIR,accuracy,dl1,[35],,0.9545,
,,Zhang2018a,MIR,accuracy,dl2,[33],,0.9831,
,,Zhang2018a,MIR,accuracy,trad1,[16],,0.92,
,,Zhang2018a,MIR,accuracy,trad2,[24],,0.9,
,,Zhang2018a,PI,accuracy,arch1,model,CNN,0.9984,
,,Zhang2018a,PI,accuracy,dl3,[14],,0.88,
,,Zhang2018a,PI,accuracy,trad3,[32],,0.99,
,,Zhang2018a,PI,accuracy,trad4,[27],,0.9831,
,,Zhang2018a,TUH,accuracy,arch1,model,CNN,0.9975,
,,Zhang2018a,TUH,accuracy,dl4,[9],,0.95,
,,Zhang2018a,TUH,accuracy,dl5,[10],,0.914,
,,Zhang2018a,TUH,accuracy,trad5,[36],,0.923,
,,Zhang2018a,TUH,accuracy,trad6,[11],,0.9505,
,Gated Recurrent Networks for Seizure Detection,Golmohammadi2017b,seizure detection,sensitivity,arch1,CNN/GRU,CNN+RNN,0.3083,
,,Golmohammadi2017b,seizure detection,sensitivity,arch2,CNN/LSTM,CNN+RNN,0.3083,
,Optimizing Channel Selection for Seizure Detection,Shah2017,seizure detection,sensitivity,arch1,CNN-2ch,CNN+RNN,0.3915,
,Improving brain computer interface performance by data augmentation with conditional Deep Convolutional Generative Adversarial Networks,Zhang2018b,data augmentation,,,,,,Surrogate classification task
,Convolutional neural networks for seizure prediction using intracranial and scalp electroencephalogram,Truong2018,seizure prediction (Freiburg),sensitivity,arch1,CNN,CNN,0.814,
,,Truong2018,seizure prediction (Freiburg),sensitivity,trad1,SVM,,0.983,
,,Truong2018,seizure prediction (Freiburg),sensitivity,trad2,SVM,,1,
,,Truong2018,seizure prediction (MIT),sensitivity,arch1,CNN,CNN,0.812,
,,Truong2018,seizure prediction (MIT),sensitivity,dl1,CNN,,0.878,
,,Truong2018,seizure prediction (MIT),sensitivity,trad1,SVM,,0.9868,
,,Truong2018,seizure prediction (AESSPC),sensitivity,arch1,CNN,CNN,0.75,
,Semi-supervised Seizure Prediction with Generative Adversarial Networks,Truong2018a,seizure prediction (CHBMIT),auc,arch1,GAN-CNN,Other,0.7768,
,,Truong2018a,seizure prediction (CHBMIT),auc,arch2,CNN,CNN,0.8379,
,,Truong2018a,seizure prediction (CHBMIT),auc,arch3,GAN-PS CNN,Other,0.7263,
,,Truong2018a,seizure prediction (CHBMIT),auc,arch4,GAN-PS USPL-CNN,Other,0.7566,
,,Truong2018a,seizure prediction (Freiburg),auc,arch1,MLP,FC,0.7547,
,,Truong2018a,seizure prediction (Freiburg),auc,arch2,CNN,CNN,0.8886,
,,Truong2018a,seizure prediction (Freiburg),auc,arch3,GAN-PS CNN,Other,0.6091,
,,Truong2018a,seizure prediction (Freiburg),auc,arch4,GAN-PS USPL-CNN,Other,0.7433,
,Time Series Segmentation through Automatic Feature Learning,Lee2018a,,,,,,,No major metric used
,Investigating the Impact of CNN Depth on Neonatal Seizure Detection Performance,OShea2018,seizure detection,auc,dl1,CNN (6),,0.9703,
,,OShea2018,seizure detection,auc,arch1,CNN (11),CNN,0.9761,
,,OShea2018,seizure detection,auc,trad1,SVM,,0.9659,
,Removing Confounding Factors Associated Weights in Deep Neural Networks Improves the Prediction Accuracy for Healthcare Applications,Wu2018,confusion classification,accuracy,arch1,CF-BiLSTM,RNN,0.75,
,,Wu2018,confusion classification,accuracy,dl1,Bi-LSTM,,0.733,
,,Wu2018,confusion classification,accuracy,dl2,RNN-LSTM,,0.69,
,,Wu2018,confusion classification,accuracy,trad1,SVM,,0.672,
,,Wu2018,confusion classification,accuracy,trad2,kNN,,0.519,
,HAMLET: Interpretable Human And Machine co-LEarning Technique,Deiss2018,clinical features classification,accuracy,arch1,HAMLET-CNN,Other,0.4075,
,,Deiss2018,clinical features classification,accuracy,arch2,HAMLET-CAE,Other,0.3906,
,,Deiss2018,clinical features classification,accuracy,dl1,CNN,,0.4158,
,,Deiss2018,clinical features classification,accuracy,dl2,MLP,,0.2314,
,Addressing Class Imbalance in Classification Problems of Noisy Signals by using Fourier Transform Surrogates,Schwabedal2018,data augmentation,,,,,,Data augmentation with surrogate task
,EEG Classification Based on Sparse Representation and Deep Learning,Gao2018,motor imagery,,,,,,Not clear what the results are (not referenced in text; there's something in Figure 10 but it's not clear what it is...)
,Use of features from RR-time series and EEG signals for automated classification of sleep stages in deep neural network framework,Tripathy2018,sleep scoring (sleep vs. wake),accuracy,arch1,model,AE,0.8551,
,,Tripathy2018,sleep scoring (sleep vs. wake),accuracy,trad1,SVM,,0.6588,
,,Tripathy2018,sleep scoring (sleep vs. wake),accuracy,trad2,SVM,,0.7931,
,,Tripathy2018,sleep scoring (light vs. deep),accuracy,arch1,model,AE,0.9403,
,,Tripathy2018,sleep scoring (light vs. deep),accuracy,trad3,MVDA,,0.8925,
,,Tripathy2018,sleep scoring (REM vs non-REM),accuracy,arch1,model,AE,0.9571,
,Emotion stress detection using EEG signal and deep learning technologies,Liao2018,stress classification,accuracy,arch1,model,CNN,0.8013,
,Hierarchical internal representation of spectral features in deep convolutional networks trained for EEG decoding,Hartmann2018b,,,,,,,Performance is not the focus of the study (interpretability is).
,Spatial-Temporal Recurrent Neural Network for Emotion Recognition,Zhang2018,emotion classification (SEED),accuracy,arch1,STRNN,RNN,0.895,
,,Zhang2018,emotion classification (SEED),accuracy,dl1,BDAE,,0.9101,
,,Zhang2018,emotion classification (SEED),accuracy,dl2,DBN,,0.8608,
,,Zhang2018,emotion classification (SEED),accuracy,trad1,GraphSLDA,,0.8841,
,,Zhang2018,emotion classification (SEED),accuracy,trad2,SVM,,0.8665,
,Individual Recognition in Schizophrenia using Deep Learning Methods with Random Forest and Voting Classifiers: Insights from Resting State EEG Streams,Chu2017,schizophrenia classification,,,,,,Why is there one accuracy value per class...?
,An EEG-based Image Annotation System,Parekh2018,image classifcation based on P300,f1-score,arch1,model,CNN,0.71,
,,Parekh2018,image classifcation based on P300 (no outliers),f1-score,arch1,model,CNN,0.83,
,EEGNet: A Compact Convolutional Neural Network for EEG-based Brain-Computer Interfaces,Lawhern2018,SMR (intrasubject),accuracy,arch1,"EEGNet-4,2",CNN,0.61,I didn't include the other tasks because they use AUC for these tasks.
,,Lawhern2018,SMR (intrasubject),accuracy,arch2,"EEGNet-8,2",CNN,0.68,
,,Lawhern2018,SMR (intrasubject),accuracy,trad1,FBCSP,,0.68,
,,Lawhern2018,SMR (intrasubject),accuracy,dl1,DeepConvNet,,0.51,
,,Lawhern2018,SMR (intrasubject),accuracy,dl2,ShallowConvNet,,0.7,
,,Lawhern2018,SMR (intersubject),accuracy,arch1,"EEGNet-4,2",CNN,0.4,
,,Lawhern2018,SMR (intersubject),accuracy,arch2,"EEGNet-8,2",CNN,0.4,
,,Lawhern2018,SMR (intersubject),accuracy,trad1,FBCSP,,0.34,
,,Lawhern2018,SMR (intersubject),accuracy,dl1,DeepConvNet,,0.4,
,,Lawhern2018,SMR (intersubject),accuracy,dl2,ShallowConvNet,,0.4,
,A deep learning architecture for temporal sleep stage classification using multivariate and multimodal time series,Chambon2018,sleep staging,accuracy,arch1,univariate,CNN,0.72,
,,Chambon2018,sleep staging,accuracy,arch2,multivariate,CNN,0.79,
,,Chambon2018,sleep staging,accuracy,trad1,GB,,0.65,
,,Chambon2018,sleep staging,accuracy,dl1,Tsinalis,,0.7,
,,Chambon2018,sleep staging,accuracy,dl2,Supratak,,0.72,
,,,,,,,,,
,A convolutional neural network for SSVEP classifcation under ambulatory environment,kwak2017,SSVEP static,accuracy,arch1,CNN-1,CNN,0.9928,
,,kwak2017,SSVEP static,accuracy,arch2,CNN-2,CNN,0.9928,
,,kwak2017,SSVEP static,accuracy,dl1,NN,,0.9844,
,,kwak2017,SSVEP static,accuracy,trad1,CCA-kNN,,0.977,
,,kwak2017,SSVEP static,accuracy,trad2,MSI,,0.8486,
,,kwak2017,SSVEP static,accuracy,trad3,CCA,,0.8324,
,,kwak2017,SSVEP ambulatory,accuracy,arch1,CNN-1,CNN,0.9403,
,,kwak2017,SSVEP ambulatory,accuracy,arch2,CNN-2,CNN,0.8836,
,,kwak2017,SSVEP ambulatory,accuracy,dl1,NN,,0.928,
,,kwak2017,SSVEP ambulatory,accuracy,trad1,CCA-kNN,,0.8465,
,,kwak2017,SSVEP ambulatory,accuracy,trad2,MSI,,0.7519,
,,kwak2017,SSVEP ambulatory,accuracy,trad3,CCA,,0.729,
,"Mental Tasks Classification using EEG signal, Discrete Wavelet Transform and Neural Network",Padmanabh2017,mental task classification,accuracy,arch1,MLP,FC,0.92,
,,Padmanabh2017,mental task classification,accuracy,arch2,PNN,FC,1,
,Cross-session classification of mental workload levels using EEG and an adaptive deep learning model,Yin2017a,mental workload classification (within-session),accuracy,arch1,A-SDAE,AE,0.9548,
,,Yin2017a,mental workload classification (cross-sessions),accuracy,arch1,A-SDAE,AE,0.8748,
,,Yin2017a,mental workload classification (cross-sessions),accuracy,dl1,ANN,,0.77,
,,Yin2017a,mental workload classification (cross-sessions),accuracy,trad1,BSVMlin,,0.79,
,,Yin2017a,mental workload classification (cross-sessions),accuracy,trad2,BSVMrbf,,0.785,
,Generative Adversarial Networks Conditioned by Brain Signals,Palazzo2017,seen image classification,accuracy,arch1,LSTM,RNN,0.839,
,The effects of pre-filtering and individualizing components for electroencephalography neural network classification,Major2017,artefact correction,,,,,,Surrogate task
,Convolutional neural network-based transfer learning and knowledge distillation using multi-subject data in motor imagery BCI,Sakhavi2017,motor imagery (20 samples),accuracy,arch1,CNN1,CNN,0.6971,
,,Sakhavi2017,motor imagery (20 samples),accuracy,arch2,CNN2,CNN,0.688,
,,Sakhavi2017,motor imagery (20 samples),accuracy,trad1,SVM,,0.6453,
,Single-trial EEG classification of motor imagery using deep convolutional neural networks,Tang2017,motor imagery,,,,,,Results are given per class.
,Pattern Recognition of Momentary Mental Workload Based on Multi-Channel Electrophysiological Data and Ensemble Convolutional Neural Networks,Zhang2017,mental workload classification (4-class),accuracy,arch1,proposed,CNN,0.938,
,,Zhang2017,mental workload classification (4-class),accuracy,trad1,LDA,,0.631,
,,Zhang2017,mental workload classification (4-class),accuracy,trad2,NB,,0.59,
,,Zhang2017,mental workload classification (4-class),accuracy,trad3,SDA,,0.845,
,,Zhang2017,mental workload classification (7-class),accuracy,arch1,proposed,CNN,0.932,
,,Zhang2017,mental workload classification (7-class),accuracy,trad1,LDA,,0.539,
,,Zhang2017,mental workload classification (7-class),accuracy,trad2,NB,,0.528,
,,Zhang2017,mental workload classification (7-class),accuracy,trad3,SDA,,0.751,
,Deep RNN learning for EEG based functional brain state inference,Patnaik2017,mental task classification (2-task),accuracy,arch1,model,RNN,0.9,
,,Patnaik2017,mental task classification (3-task),accuracy,arch1,model,RNN,0.815,
,,Patnaik2017,mental task classification (4-task),accuracy,arch1,model,RNN,0.81,
,Deep Convolutional Neural Networks for Interpretable Analysis of EEG Sleep Stage Scoring,Vilamala2017,sleep staging,accuracy,arch1,VGG-FE,CNN,0.83,
,,Vilamala2017,sleep staging,accuracy,arch2,VGG-FT,CNN,0.86,
,,Vilamala2017,sleep staging,accuracy,dl1,[12],,0.86,
,,Vilamala2017,sleep staging,accuracy,dl2,[13],,0.82,
,Deep long short-term memory structures model temporal dependencies improving cognitive workload estimation,Hefron2017,cognitive workload classification (all features),accuracy,arch1,LSTM-S,RNN,0.913,
,,Hefron2017,cognitive workload classification (all features),accuracy,arch2,RNN-D,RNN,0.899,
,,Hefron2017,cognitive workload classification (all features),accuracy,arch3,LSTM-D,RNN,0.93,
,,Hefron2017,cognitive workload classification (all features),accuracy,trad1,SVM-L,,0.835,
,,Hefron2017,cognitive workload classification (all features),accuracy,trad2,SVM-R,,0.842,
,,Hefron2017,cognitive workload classification (all features),accuracy,dl1,ANN,,0.836,
,The signature of robot action success in EEG signals of a human observer: Decoding and visualization using deep convolutional neural networks,Behncke2017,"error detection (KPO, 2.5-5s)",accuracy,arch1,CNN,CNN,0.782,
,,Behncke2017,"error detection (KPO, 2.5-5s)",accuracy,trad1,rLDA,,0.675,
,,Behncke2017,"error detection (KPO, 2.5-5s)",accuracy,trad2,FBCSP,,0.601,
,,Behncke2017,"error detection (KPO, 3.3-7.5s)",accuracy,arch1,CNN,CNN,0.719,
,,Behncke2017,"error detection (KPO, 3.3-7.5s)",accuracy,trad1,rLDA,,0.63,
,,Behncke2017,"error detection (KPO, 3.3-7.5s)",accuracy,trad2,FBCSP,,0.665,
,,Behncke2017,"error detection (RGO, 4.8-6.3s)",accuracy,arch1,CNN,CNN,0.596,
,,Behncke2017,"error detection (RGO, 4.8-6.3s)",accuracy,trad1,rLDA,,0.581,
,,Behncke2017,"error detection (RGO, 4.8-6.3s)",accuracy,trad2,FBCSP,,0.524,
,,Behncke2017,"error detection (RGO, 4-7s)",accuracy,arch1,CNN,CNN,0.646,
,,Behncke2017,"error detection (RGO, 4-7s)",accuracy,trad1,rLDA,,0.585,
,,Behncke2017,"error detection (RGO, 4-7s)",accuracy,trad2,FBCSP,,0.531,
,Deep learning with convolutional neural networks for decoding and visualization of EEG pathology,Schirrmeister2017,"motor imagery (combined, 4-f_end)",accuracy,arch1,Deep ConvNet,CNN,0.831,
,,Schirrmeister2017,"motor imagery (combined, 4-f_end)",accuracy,arch2,ShallowConvNet,CNN,0.834,
,,Schirrmeister2017,"motor imagery (combined, 4-f_end)",accuracy,arch3,Hybrid ConvNet,CNN,0.822,
,,Schirrmeister2017,"motor imagery (combined, 4-f_end)",accuracy,arch4,Residual ConvNet,CNN,0.784,
,,Schirrmeister2017,"motor imagery (combined, 4-f_end)",accuracy,trad1,FBCSP,,0.819,
,Optimal Feature Selection and Deep Learning Ensembles Method for Emotion Recognition From Human Brain EEG Sensors,Mehmood2017,emotion recognition (optimal features),accuracy,arch1,DL,N/M,0.736,
,,Mehmood2017,emotion recognition (optimal features),accuracy,trad1,kNN,,0.669,
,,Mehmood2017,emotion recognition (optimal features),accuracy,trad2,J48 (DT),,0.695,
,Converting Your Thoughts to Texts: Enabling Brain Typing via Deep Feature Learning of EEG Signals,Zhang2017g,motor imagery,accuracy,arch1,ours,Other,0.9553,
,,Zhang2017g,motor imagery,accuracy,trad1,kNN,,0.8769,
,,Zhang2017g,motor imagery,accuracy,trad2,RF,,0.7739,
,,Zhang2017g,motor imagery,accuracy,dl1,RNN,,0.9325,
,,Zhang2017g,motor imagery,accuracy,dl2,CNN,,0.8409,
,Emotion Recognition based on EEG using LSTM Recurrent Neural Network,Alhagry2017,emotion recognition (arousal),accuracy,arch1,LSTM,RNN,0.8565,
,,Alhagry2017,emotion recognition (arousal),accuracy,trad1,[2],,0.62,
,,Alhagry2017,emotion recognition (arousal),accuracy,trad2,[3],,0.7306,
,,Alhagry2017,emotion recognition (arousal),accuracy,trad3,[6],,0.701,
,,Alhagry2017,emotion recognition (arousal),accuracy,trad4,[7],,0.662,
,,Alhagry2017,emotion recognition (valence),accuracy,arch1,LSTM,RNN,0.8545,
,,Alhagry2017,emotion recognition (valence),accuracy,trad1,[2],,0.567,
,,Alhagry2017,emotion recognition (valence),accuracy,trad2,[3],,0.7341,
,,Alhagry2017,emotion recognition (valence),accuracy,trad3,[6],,0.709,
,,Alhagry2017,emotion recognition (valence),accuracy,trad4,[7],,0.643,
,,Alhagry2017,emotion recognition (liking),accuracy,arch1,LSTM,RNN,0.8799,
,,Alhagry2017,emotion recognition (liking),accuracy,trad1,[2],,0.554,
,,Alhagry2017,emotion recognition (liking),accuracy,trad4,[7],,0.702,
,Intent Recognition in Smart Living Through Deep Recurrent Neural Networks,Zhang2017d,motor imagery,accuracy,arch1,ours,RNN,0.9553,
,,Zhang2017d,motor imagery,accuracy,trad1,kNN,,0.8369,
,,Zhang2017d,motor imagery,accuracy,trad2,RF,,0.7739,
,,Zhang2017d,motor imagery,accuracy,dl1,CNN,,0.8409,
,Deep Recurrent Neural Networks for seizure detection and early seizure detection systems,Talathi2017,seizure detection,accuracy,arch1,model,RNN,0.996,
,DeepSleepNet: a Model for Automatic Sleep Stage Scoring based on Raw Single-Channel EEG,Supratak2017,"sleep staging (Sleep-EDF, Fpz-Cz)",accuracy,arch1,DeepSleepNet,CNN+RNN,0.82,
,,Supratak2017,"sleep staging (Sleep-EDF, Fpz-Cz)",accuracy,dl1,[7],,0.789,
,,Supratak2017,"sleep staging (Sleep-EDF, Fpz-Cz)",accuracy,dl2,[11],,0.748,
,,Supratak2017,sleep staging (MASS),accuracy,arch1,DeepSleepNet,CNN+RNN,0.862,
,,Supratak2017,sleep staging (MASS),accuracy,dl3,[13],,0.859,
,Mixed Neural Network Approach for Temporal Sleep Stage Classification,dong2018mixed,sleep staging,accuracy,arch1,MNN,RNN,0.8592,
,,dong2018mixed,sleep staging,accuracy,dl1,MLP,,0.8143,
,,dong2018mixed,sleep staging,accuracy,trad1,SVM,,0.797,
,,dong2018mixed,sleep staging,accuracy,trad2,RF,,0.8167,
,SLEEPNET: Automated Sleep Staging System via Deep Learning,Biswal2017,sleep staging (expert feature),accuracy,arch1,RCNN,CNN+RNN,0.8167,
,,Biswal2017,sleep staging (expert feature),accuracy,arch2,RNN,RNN,0.8576,
,,Biswal2017,sleep staging (expert feature),accuracy,dl1,MLP,,0.7223,
,,Biswal2017,sleep staging (expert feature),accuracy,trad1,LR,,0.6854,
,,Biswal2017,sleep staging (expert feature),accuracy,trad2,TB,,0.7567,
,,Biswal2017,sleep staging (spectrogram),accuracy,arch1,RCNN,CNN+RNN,0.8147,
,,Biswal2017,sleep staging (spectrogram),accuracy,arch2,RNN,RNN,0.7921,
,,Biswal2017,sleep staging (spectrogram),accuracy,dl1,MLP,,0.7023,
,,Biswal2017,sleep staging (spectrogram),accuracy,dl2,CNN,,0.7783,
,,Biswal2017,sleep staging (spectrogram),accuracy,trad1,LR,,0.7161,
,,Biswal2017,sleep staging (spectrogram),accuracy,trad2,TB,,0.6654,
,,Biswal2017,sleep staging (waveform),accuracy,arch1,RCNN,CNN+RNN,0.7981,
,,Biswal2017,sleep staging (waveform),accuracy,arch2,RNN,RNN,0.7946,
,,Biswal2017,sleep staging (waveform),accuracy,dl1,MLP,,0.6956,
,,Biswal2017,sleep staging (waveform),accuracy,dl2,CNN,,0.7731,
,,Biswal2017,sleep staging (waveform),accuracy,trad1,LR,,0.6743,
,,Biswal2017,sleep staging (waveform),accuracy,trad2,TB,,0.7236,
,MindID: Person Identification from Brain Waves through Attention-based Recurrent Neural Network,Zhang2017e,person identification (EID-M),accuracy,arch1,model,RNN,0.982,
,,Zhang2017e,person identification (EID-M),accuracy,trad1,PD+XGB,,0.965,
,,Zhang2017e,person identification (EID-M),accuracy,trad2,kNN,,0.849,
,,Zhang2017e,person identification (EID-M),accuracy,dl1,PD+RNN,,0.853,
,,Zhang2017e,person identification (EID-M),accuracy,dl2,RNN,,0.815,
,,Zhang2017e,person identification (EID-M),accuracy,trad3,[13],,0.919,
,DeepKey: An EEG and Gait Based Dual-Authentication System,Zhang2017c,person identification (EEG),accuracy,arch1,AR+RNN+SVM,RNN,0.984,
,,Zhang2017c,person identification (EEG),accuracy,trad1,AR+SVM,,0.9743,
,,Zhang2017c,person identification (EEG),accuracy,trad2,CSP+LDA,,0.9697,
,,Zhang2017c,person identification (EEG),accuracy,dl1,ANN,,0.9003,
,Multi-Person Brain Activity Recognition via Comprehensive EEG Signal Analysis,Zhang2017a,motor imagery,accuracy,arch1,AE+XGB,AE,0.794,
,,Zhang2017a,motor imagery,accuracy,trad1,PCA+XGB,,0.7902,
,,Zhang2017a,motor imagery,accuracy,trad2,XGB,,0.7453,
,,Zhang2017a,motor imagery,accuracy,arch2,StackedAE+XGB,AE,0.7048,
,,Zhang2017a,motor imagery,accuracy,dl1,RNN,,0.6104,
,,Zhang2017a,motor imagery,accuracy,dl2,RNN+SVM,,0.6134,
,Neurology-as-a-Service for the Developing World,Dharamsi2017,motor imagery,accuracy,arch1,model,CNN,0.634,
,Deep Architectures for Automated Seizure Detection in Scalp EEGs,Golmohammadi2017a,seizure detection,sensitivity,arch1,CNN/LSTM,CNN+RNN,0.3083,
,,Golmohammadi2017a,seizure detection,sensitivity,dl1,CNN/MLP,,0.3909,
,,Golmohammadi2017a,seizure detection,sensitivity,dl2,IPCA/LSTM,,0.3297,
,,Golmohammadi2017a,seizure detection,sensitivity,trad1,HMM/SdA,,0.3535,
,,Golmohammadi2017a,seizure detection,sensitivity,trad2,HMM,,0.3032,
,Neonatal Seizure Detection using Convolutional Neural Networks,OShea2017,seizure detection,auc,arch1,FCNN,CNN,0.971,
,,OShea2017,seizure detection,auc,trad1,SVM,,0.965,
,Improving classification accuracy of feedforward neural networks for spiking neuromorphic chips,Yepes2017,motor execution,accuracy,arch1,model,N/M,0.8609,
,Automatic Analysis of EEGs Using Big Data and Hybrid Deep Learning Architectures,Golmohammadi2017,clinical event detection,,,,,,No accuracy
,Multimodal deep learning approach for joint EEG-EMG data compression and classification,BenSaid2017a,emotion classification (dominance),accuracy,arch1,MM,AE,0.781,baselines are unimodal only
,Deep Learning for Fatigue Estimation on the Basis of Multimodal Human-Machine Interactions,Gordienko2017,fatigue classification,,,,,,Not clear...
,Towards Deep Modeling of Music Semantics using EEG Regularizers,Raposo2017,feature learning,,,,,,no accuracy
,Deep convolutional neural network for the automated detection and diagnosis of seizure using EEG signals,Acharya2017,seizure detection,accuracy,arch1,model,CNN,0.887,
,,Acharya2017,seizure detection,accuracy,dl1,SNN,,0.925,
,,Acharya2017,seizure detection,accuracy,dl2,rbfNN,,0.993,
,,Acharya2017,seizure detection,accuracy,trad1,RF,,0.994,
,,Acharya2017,seizure detection,accuracy,trad2,SVM,,0.986,
,,Acharya2017,seizure detection,accuracy,trad3,Fuzzy sugeno,,0.997,
,Electroencephalogram-based decoding cognitive states using convolutional neural network and likelihood ratio based score fusion,Zafar2017,RSVP,accuracy,arch1,proposed,CNN,0.799,
,,Zafar2017,RSVP,accuracy,trad1,WT&LRBSF,,0.691,
,,Zafar2017,RSVP,accuracy,dl1,CNN+SVM,,0.69,
,,Zafar2017,RSVP,accuracy,trad2,WT&SVM,,0.655,
,,Zafar2017,RSVP,accuracy,trad3,SVM,,0.65,
,,Zafar2017,RSVP,accuracy,dl2,CNN,,0.61,
,Deep Convolutional Neural Network for Emotion Recognition Using EEG and Peripheral Physiological Signal,Lin2017,emotion recognition (arousal),accuracy,arch1,proposed,CNN,0.873,
,,Lin2017,emotion recognition (arousal),accuracy,dl1,[13],,0.8418,
,,Lin2017,emotion recognition (arousal),accuracy,dl2,[21],,0.642,
,,Lin2017,emotion recognition (arousal),accuracy,dl3,[19],,0.512,
,,Lin2017,emotion recognition (arousal),accuracy,trad1,[16],,0.7651,
