,Title,Citation,Task,Metric,Model,Description,Architecture,Result,Comment
,,Lin2017,emotion recognition (arousal),accuracy,trad2,[22],,0.7306,
,,Lin2017,emotion recognition (valence),accuracy,arch1,proposed,CNN,0.855,
,,Lin2017,emotion recognition (valence),accuracy,dl1,[13],,0.8304,
,,Lin2017,emotion recognition (valence),accuracy,dl2,[21],,0.584,
,,Lin2017,emotion recognition (valence),accuracy,dl3,[19],,0.609,
,,Lin2017,emotion recognition (valence),accuracy,trad3,[18],,0.709,
,,Lin2017,emotion recognition (valence),accuracy,trad2,[22],,0.7314,
,Cross-subject recognition of operator functional states via EEG and switching deep belief networks with adaptive weights,Yin2017,mental workload,accuracy,arch1,SDBN,DBN,0.769,
,,Yin2017,mental workload,accuracy,dl1,SAE,,0.4215,
,,Yin2017,mental workload,accuracy,dl2,PCA-DBN,,0.4106,
,,Yin2017,mental workload,accuracy,trad1,NB,,0.4163,
,,Yin2017,mental workload,accuracy,trad2,PCA-NB,,0.3912,
,,Yin2017,mental fatigue,accuracy,arch1,SDBN,DBN,0.6838,
,,Yin2017,mental fatigue,accuracy,dl1,SAE,,0.4541,
,,Yin2017,mental fatigue,accuracy,dl2,PCA-DBN,,0.5086,
,,Yin2017,mental fatigue,accuracy,trad3,PCA-LSSVM,,0.4932,
,,Yin2017,mental fatigue,accuracy,trad2,PCA-NB,,0.4936,
,,Yin2017,coupled,accuracy,arch1,SDBN,DBN,0.5443,
,,Yin2017,coupled,accuracy,dl3,DBN,,0.3551,
,,Yin2017,coupled,accuracy,dl2,PCA-DBN,,0.3399,
,,Yin2017,coupled,accuracy,trad4,KB,,0.3106,
,,Yin2017,coupled,accuracy,trad2,PCA-NB,,0.3503,
,Vowel classification from imagined speech using sub-band EEG frequencies and deep belief networks,Sree2017,vowel classification,accuracy,arch1,model,DBN,0.785,computed by hand from figure 4
,Bullying incidences identification within an immersive environment using HD EEG-based analysis: A Swarm Decomposition and Deep Learning approach,Baltatzis2017,bullying incidence detection (four-class),accuracy,arch1,model,CNN,0.8858,
,,Baltatzis2017,bullying incidence detection (two-class),accuracy,arch1,model,CNN,0.937,
,Classification and discrimination of focal and non-focal EEG signals based on deep neural network,Taqi2017,seizure detection,accuracy,arch1,DNN,FC,1,
,,Taqi2017,seizure detection,accuracy,trad1,LSSVM,,0.85,
,,Taqi2017,seizure detection,accuracy,trad2,LSSVM,,0.84,
,,Taqi2017,seizure detection,accuracy,trad3,kNN,,0.894,
,Deep Transfer Learning for Cross-subject and Cross-experiment Prediction of Image Rapid Serial Visual Presentation Events from EEG Data,Hajinoroozi2017,RSVP,,,,,,no accuracy
,Transformation of EEG Signal for Emotion Analysis and Dataset Construction for DNN Learning,Kwon2017,emotion classification,none,arch1,model,FC,0.92,no performance metric
,The Analysis and Classify of Sleep Stage Using Deep Learning Network from Single-Channel EEG Signal,Xie2017,sleep staging,accuracy,arch1,model,CNN,0.8883,
,,Xie2017,sleep staging,accuracy,trad1,MI+SOM,,0.7,
,,Xie2017,sleep staging,accuracy,dl1,PSS+ANN,,0.822,
,,Xie2017,sleep staging,accuracy,trad2,SF+AdaBoost,,0.827,
,Deep Models for Engagement Assessment With Scarce Label Information,Li2017,engagement assessment (Top 20%),accuracy,arch1,DC+pretraining+dropout,RBM,0.8652,
,,Li2017,engagement assessment (Top 20%),accuracy,trad1,PCA,,0.7739,
,,Li2017,engagement assessment (Top 20%),accuracy,trad2,low-level features,,0.8492,
,Deep Learning Representation from Electroencephalography of Early-Stage Creutzfeldt-Jakob Disease and Features for Differentiation from Rapidly Progressive Dementia,Morabito2017,dementia classification (CJD vs RPD),accuracy,arch1,MLP,FC,0.89,
,,Morabito2017,dementia classification (CJD vs RPD),accuracy,trad1,SVM,,0.77,
,,Morabito2017,dementia classification (CJD vs AD),accuracy,arch1,MLP,FC,0.88,
,,Morabito2017,dementia classification (CJD vs AD),accuracy,trad1,SVM,,0.83,
,,Morabito2017,dementia classification (CJD vs HC),accuracy,arch1,MLP,FC,0.87,
,,Morabito2017,dementia classification (CJD vs HC),accuracy,trad1,SVM,,0.76,
,SGDR: Stochastic Gradient Descent with Warm Restarts,Loshchilov2017,motor execution,error,,,,,Only reported as difference between a baseline and the model
,Deep Learning Human Mind for Automated Visual Classification,Spampinato2017,RSVP,accuracy,dl1,GoogleNet,,0.926,
,,Spampinato2017,RSVP,accuracy,dl2,VGG,,0.8,
,,Spampinato2017,RSVP,accuracy,arch1,our method,CNN+RNN,0.897,
,,Spampinato2017,RSVP,accuracy,trad1,[10],,0.13,
,Deep Learning Using EEG Data in Time and Frequency Domains for Sleep Stage Classification,Manzano2017a,sleep staging (time domain),accuracy,arch1,model,CNN,0.686,
,,Manzano2017a,sleep staging (frequency domain),accuracy,arch1,model,CNN,0.689,
,,,,,,,,,
,Using Deep Neural Networks for Natural Saccade Classification from Electroencephalograms,drouin2016using,saccade classification,accuracy,arch1,MLP,FC,0.7292,
,,drouin2016using,saccade classification,accuracy,arch2,CNN,CNN,0.7094,
,,drouin2016using,saccade classification,accuracy,trad1,[14],,0.518,
,,drouin2016using,saccade classification,accuracy,trad2,[13],,0.5072,
,EEG-based prediction of driver's cognitive performance by deep convolutional neural network,Hajinoroozi2016,cognitive performance classification,auc,,,,,no accuracy (auc instead)
,Wearable seizure detection using convolutional neural networks with transfer learning,Page2016,seizure detection,sensitivity,arch1,GM,CNN,0.9652,"GM, PM & HM refer to different data splits. The data splits for the baseline models is not explained."
,,Page2016,seizure detection,sensitivity,arch2,PM,CNN,1,
,,Page2016,seizure detection,sensitivity,arch3,HM,CNN,1,
,,Page2016,seizure detection,sensitivity,trad1,[5],,0.96,
,,Page2016,seizure detection,sensitivity,trad2,[10],,0.985,
,Learning robust features using deep learning for automatic seizure detection,Thodoroff2016,seizure detection,sensitivity,arch1,RNN,RNN,0.85,
,,Thodoroff2016,seizure detection,sensitivity,trad1,REVEAL,,0.67,
,Single-trial EEG RSVP classification using convolutional neural networks,Shamwell2016,RSVP,auc,arch1,CNN,CNN,0.7252,
,,Shamwell2016,RSVP,auc,trad1,CSP,,0.6261,
,,Shamwell2016,RSVP,auc,trad2,HDCA,,0.66,
,,Shamwell2016,RSVP,auc,trad3,XD+BLDA,,0.7151,
,Affective states classification using EEG and semi-supervised deep learning approaches,Xu2016,emotion classification (arousal),accuracy,arch1,SDAE,AE,0.8586,
,,Xu2016,emotion classification (arousal),accuracy,arch2,DBN,DBN,0.8833,
,,Xu2016,emotion classification (arousal),accuracy,trad1,SVM-RBF,,0.8293,
,,Xu2016,emotion classification (valence),accuracy,arch1,SDAE,AE,0.8477,
,,Xu2016,emotion classification (valence),accuracy,arch2,DBN,DBN,0.8859,
,,Xu2016,emotion classification (valence),accuracy,trad1,SVM-RBF,,0.8319,
,,Xu2016,emotion classification (liking),accuracy,arch1,SDAE,AE,0.8711,
,,Xu2016,emotion classification (liking),accuracy,arch2,DBN,DBN,0.892,
,,Xu2016,,accuracy,trad1,SVM-RBF,,0.8319,
,Automatic Sleep Stage Scoring with Single-Channel EEG Using Convolutional Neural Networks,Tsinalis2016a,sleep staging,accuracy,dl1,[28],,0.78,
,,Tsinalis2016a,sleep staging,accuracy,arch1,CNN morlet,CNN,0.73,
,,Tsinalis2016a,sleep staging,accuracy,arch2,CNN,CNN,0.74,
,Mental State Recognition via Wearable EEG,Bashivan2016b,video content,,,,,,no accuracy
,Neural networks based EEG-Speech Models,Sun2016,speech classification,accuracy,arch1,NES-I,RBM,0.3436,Computed mean by hand
,,Sun2016,speech classification,accuracy,arch2,NES-B,RBM,0.3900,
,,Sun2016,speech classification,accuracy,arch3,NES-G,RBM,0.4327,
,,Sun2016,speech classification,accuracy,trad1,SVM,,0.2091,
,Combining Generative and Discriminative Neural Networks for Sleep Stages Classification,Giri2016,sleep staging,accuracy,arch1,DBN+LSTM,DBN+RNN,0.988,
,,Giri2016,sleep staging,accuracy,dl1,DBN+HMM,,0.723,
,,Giri2016,sleep staging,accuracy,dl2,DBN,,0.515,
,,Giri2016,sleep staging,accuracy,dl3,[9],,0.9131,
,Multimodal Emotion Recognition Using Multimodal Deep Learning,Liu2016,emotion recognition (DEAP),accuracy,trad1,SVM,,0.786,
,,Liu2016,emotion recognition (DEAP),accuracy,arch1,DemoP,AE,0.788,
,,Liu2016,emotion recognition (DEAP),accuracy,arch2,3DemoP,AE,0.792,
,,Liu2016,emotion recognition (MANHOB),accuracy,trad1,SVM,,0.524,
,,Liu2016,emotion recognition (MANHOB),accuracy,arch1,DemoP,AE,0.531,
,,Liu2016,emotion recognition (MANHOB),accuracy,arch2,3DemoP,AE,0.548,
,Interpretable Deep Neural Networks for Single-Trial EEG Classification,Sturm2016,motor imagery,accuracy,trad1,CSP/LDA,,0.822,
,,Sturm2016,motor imagery,accuracy,arch1,DNN,FC,0.749,
,,Sturm2016,motor imagery,accuracy,arch2,intersubjDNN,FC,0.754,
,Ischemic stroke identification based on EEG and EOG using 1D convolutional neural network and batch normalization,Giri2016a,ischemic stroke identification,accuracy,arch1,1DCNN,CNN,0.861,
,,Giri2016a,ischemic stroke identification,accuracy,trad1,NB,,0.694,
,,Giri2016a,ischemic stroke identification,accuracy,dl1,NN,,0.655,
,,Giri2016a,ischemic stroke identification,accuracy,trad2,Logreg,,0.645,
,Deep convolutional neural networks for classification of mild cognitive impaired and Alzheimer's disease patients from scalp EEG recordings,Morabito2016,dementia classification (AD-MCI-HC),accuracy,arch1,model,CNN,0.82,
,,Morabito2016,dementia classification (MCI-HC),accuracy,arch1,model,CNN,0.85,
,,Morabito2016,dementia classification (AD-HC),accuracy,arch1,model,CNN,0.85,
,,Morabito2016,dementia classification (MCI-AD),accuracy,arch1,model,CNN,0.78,
,EEG Based Eye State Classification using Deep Belief Network and Stacked AutoEncoder,Narejo2016,eye state classification,accuracy,arch1,SAE,AE,0.989,
,,Narejo2016,eye state classification,accuracy,trad1,K*+RRF,,0.974,
,,Narejo2016,eye state classification,accuracy,trad2,K*+RRF,,0.973,
,,Narejo2016,eye state classification,accuracy,trad3,Neuro-Fuzzy,,0.96,
,Removal of EOG artifacts from EEG using a cascade of sparse autoencoder and recursive least squares adaptive filter,Yang2016a,artefact correction,,,,,,accuracy on surrogate task
,Recognition of Cognitive Task Load levels using single channel EEG and Stacked Denoising Autoencoder,Yin2016b,cognitive load classification,accuracy,arch1,model,AE,0.7429,
,Hand motion identification of grasp-and-lift task from electroencephalography recordings using recurrent neural networks,An2016,motor execution,accuracy,arch1,LSTM,RNN,0.8789,
,,An2016,motor execution,accuracy,arch2,GRU,RNN,0.886,
,,An2016,motor execution,accuracy,arch3,MUT1,RNN,0.8654,
,,An2016,motor execution,accuracy,arch4,MUT2,RNN,0.8821,
,,An2016,motor execution,accuracy,arch5,MUT3,RNN,0.8882,
,Decoding EEG and LFP signals using deep learning: heading TrueNorth,Nurse2016,motor execution,accuracy,arch1,model,CNN,0.76,
,A novel deep learning approach for classifcation of EEG motor imagery signals,Tabar2016a,motor imagery (bci comp IV 2b),accuracy,arch1,CNN,CNN,0.748,
,,Tabar2016a,motor imagery (bci comp IV 2b),accuracy,arch2,SAE,AE,0.577,
,,Tabar2016a,motor imagery (bci comp IV 2b),accuracy,arch3,CNN-SAE,CNN,0.776,
,,Tabar2016a,motor imagery (bci comp IV 2b),accuracy,trad1,SVM,,0.724,
,,Tabar2016a,motor imagery (session-to-session),accuracy,arch1,CNN,CNN,0.724,
,,Tabar2016a,motor imagery (session-to-session),accuracy,arch2,SAE,AE,0.703,
,,Tabar2016a,motor imagery (session-to-session),accuracy,arch3,CNN-SAE,CNN,0.751,
,,Tabar2016a,motor imagery (bci comp II dataset III),accuracy,arch1,CNN,CNN,0.893,
,,Tabar2016a,motor imagery (bci comp II dataset III),accuracy,arch2,SAE,AE,0.6,
,,Tabar2016a,motor imagery (bci comp II dataset III),accuracy,arch3,CNN-SAE,CNN,0.9,
,,Tabar2016a,motor imagery (bci comp II dataset III),accuracy,trad1,[41],,0.893,
,,Tabar2016a,motor imagery (bci comp II dataset III),accuracy,dl1,[23],,0.882,
,Semi-automated Annotation of Signal Events in Clinical EEG Data,Yang2016b,event annotation,,,,,,Sensitivity per class?
,Learning representations from EEG with deep recurrent-convolutional neural networks,Bashivan2016a,mental load classification (single-frame),error,trad1,RBF SVM,,0.1468,
,,Bashivan2016a,mental load classification (single-frame),error,trad2,L1-LR,,0.1455,
,,Bashivan2016a,mental load classification (single-frame),error,trad3,RF,,0.1444,
,,Bashivan2016a,mental load classification (single-frame),error,dl1,DBN,,0.1359,
,,Bashivan2016a,mental load classification (single-frame),error,arch1,CNN A,CNN,0.1305,
,,Bashivan2016a,mental load classification (single-frame),error,arch2,CNN B,CNN,0.1317,
,,Bashivan2016a,mental load classification (single-frame),error,arch3,CNN C,CNN,0.1391,
,,Bashivan2016a,mental load classification (single-frame),error,arch4,CNN D,CNN,0.1239,
,,Bashivan2016a,mental load classification (multi-frame),error,trad1,RBF SVM,,0.1534,
,,Bashivan2016a,mental load classification (multi-frame),error,trad2,L1-LR,,0.1532,
,,Bashivan2016a,mental load classification (multi-frame),error,trad3,RF,,0.1259,
,,Bashivan2016a,mental load classification (multi-frame),error,dl1,DBN,,0.1496,
,,Bashivan2016a,mental load classification (multi-frame),error,arch1,CNN A,CNN,0.148,
,,Bashivan2016a,mental load classification (multi-frame),error,arch2,CNN B,CNN,0.1132,
,,Bashivan2016a,mental load classification (multi-frame),error,arch3,CNN C,CNN,0.1054,
,,Bashivan2016a,mental load classification (multi-frame),error,arch4,CNN D,CNN,0.0889,
,,,,,,,,,
,Investigating Critical Frequency Bands and Channels for EEG-Based Emotion Recognition with Deep Neural Networks,Zheng2015,emotion recognition,accuracy,arch1,DBN,DBN,0.8608,
,,Zheng2015,emotion recognition,accuracy,trad1,SVM,,0.8399,
,,Zheng2015,emotion recognition,accuracy,trad2,LR,,0.827,
,,Zheng2015,emotion recognition,accuracy,trad3,kNN,,0.726,
,Deep feature learning for EEG recordings,Stober2015,music imagery (64 Hz),accuracy,trad1,raw + SVC,,0.148,
,,Stober2015,music imagery (64 Hz),accuracy,arch1,Encoder + CNN maj,CNN,0.278,
,Convolutional neural network for multi-category rapid serial visual presentation BCI,Manor2015,RSVP,accuracy,arch1,DeepNet,CNN,0.748,from graph
,,Manor2015,RSVP,accuracy,trad1,SWFP,,0.73,
,Parallel convolutional-linear neural network for motor imagery classification,Sakhavi2015,motor imagery,accuracy,trad1,SVM,,0.6701,
,,Sakhavi2015,motor imagery,accuracy,arch1,MLP,FC,0.6578,
,,Sakhavi2015,motor imagery,accuracy,arch2,CNN,CNN,0.6956,
,,Sakhavi2015,motor imagery,accuracy,arch3,CNN/MLP,CNN,0.706,
,Deep learning of EEG signals for emotion recognition,Gao2015,emotion recognition (model tied),accuracy,dl1,ANN,,0.6,
,,Gao2015,emotion recognition (model tied),accuracy,trad1,kNN,,0.513,
,,Gao2015,emotion recognition (model tied),accuracy,trad2,SVM,,0.608,
,,Gao2015,emotion recognition (model tied),accuracy,arch1,model,RBM,0.684,
,Feature learning from incomplete EEG with denoising autoencoder,Li2015,,,,,,,No aggregates
,Superchords: the atoms of thought,Normand2015,motor execution,error,arch1,superchords,Other,0.1071,
,,Normand2015,motor imagery,error,arch1,superchords,Other,0.1174,
,On the use of convolutional neural networks and augmented CSP features for multi-class motor imagery of EEG signals classification,Yang2015a,motor imagery,accuracy,arch1,PCMS,CNN,0.6845,
,,Yang2015a,motor imagery,accuracy,arch2,RMS,CNN,0.6393,
,,Yang2015a,motor imagery,accuracy,arch3,SFM,CNN,0.6927,
,,Yang2015a,motor imagery,accuracy,trad1,FBCSP,,0.6701,
,Prediction of driver's drowsy and alert states from EEG signals with deep learning,Hajinoroozi2015,fatigue detection (raw EEG),accuracy,trad1,LDA,,0.5281,
,,Hajinoroozi2015,fatigue detection (raw EEG),accuracy,trad2,SVM,,0.5038,
,,Hajinoroozi2015,fatigue detection (raw EEG),accuracy,dl1,DNN,,0.7647,
,,Hajinoroozi2015,fatigue detection (raw EEG),accuracy,dl2,CNN,,0.7141,
,,Hajinoroozi2015,fatigue detection (raw EEG),accuracy,arch1,CCNN-R,CNN+RBM,0.8278,
,,Hajinoroozi2015,fatigue detection (raw EEG),accuracy,arch2,CCNN,CNN,0.7963,
,,Hajinoroozi2015,fatigue detection (bagging),accuracy,trad1,LDA,,0.5281,
,,Hajinoroozi2015,fatigue detection (bagging),accuracy,trad2,SVM,,0.5038,
,,Hajinoroozi2015,fatigue detection (bagging),accuracy,dl3,DBN,,0.7719,
,,Hajinoroozi2015,fatigue detection (bagging),accuracy,dl1,DNN,,0.7977,
,,Hajinoroozi2015,fatigue detection (bagging),accuracy,dl2,CNN,,0.795,
,,Hajinoroozi2015,fatigue detection (bagging),accuracy,arch1,CCNN-R,CNN+RBM,0.8099,
,,Hajinoroozi2015,fatigue detection (bagging),accuracy,arch2,CCNN,CNN,0.8294,
,,Hajinoroozi2015,fatigue detection (ICA features),accuracy,trad1,LDA,,0.5057,
,,Hajinoroozi2015,fatigue detection (ICA features),accuracy,trad2,SVM,,0.5004,
,,Hajinoroozi2015,fatigue detection (ICA features),accuracy,dl1,DNN,,0.7684,
,,Hajinoroozi2015,fatigue detection (ICA features),accuracy,dl2,CNN,,0.7496,
,,Hajinoroozi2015,fatigue detection (ICA features),accuracy,arch1,CCNN-R,CNN+RBM,0.7293,
,,Hajinoroozi2015,fatigue detection (ICA features),accuracy,arch2,CCNN,CNN,0.783,
,Deep Extreme Learning Machine and Its Application in EEG Classification,Ding2015,motor imagery (IA),error,arch1,DELM,Other,0.135,
,,Ding2015,motor imagery (IA),error,trad1,Justin Sanchez,,0.198,
,,Ding2015,motor imagery (IA),error,trad2,Denis Erdogmus,,0.191,
,,Ding2015,motor imagery (IB),error,arch1,DELM,Other,0.4789,
,,Ding2015,motor imagery (IB),error,trad3,Brett Mensh,,0.561,
,,Ding2015,motor imagery (IB),error,trad4,Fabien Torre,,0.544,
,Emotional Affect Estimation Using Video and EEG Data in Deep Neural Networks,Frydenlund2015,BCI,rmse,,,,,No accuracy
,Detecting Epileptic Seizures from EEG Data using Neural Networks,Pramod2015,seizure detection,sensitivity,arch1,model,FC,0.9806,
,Adaptive Recurrent Neural Network For Reduction Of Noise And Estimation Of Source From Recorded EEG Signals,Pardede2015,,,,,,,No accuracy
,,,,,,,,,
,EEG-based emotion classification using deep belief networks,Zheng2014,emotion classification,accuracy,trad1,GELM,,0.8567,
,,Zheng2014,emotion classification,accuracy,trad2,SVM,,0.8408,
,,Zheng2014,emotion classification,accuracy,arch1,DBN,DBN,0.8691,
,,Zheng2014,emotion classification,accuracy,arch2,DBN-HMM,DBN,0.8762,
,Deep learning of multifractal attributes from motor imagery induced EEG,Li2014,motor imagery,accuracy,arch1,DNN,FC,0.7367,Averaged by hand
,EEG-based emotion recognition using deep learning network with principal component based covariate shift adaptation,Jirayucharoensak2014,emotion classification (valence),accuracy,trad1,SVM,,0.4112,
,,Jirayucharoensak2014,emotion classification (valence),accuracy,trad2,NB-230,,0.4397,
,,Jirayucharoensak2014,emotion classification (valence),accuracy,trad3,NB-weighted,,0.534,
,,Jirayucharoensak2014,emotion classification (valence),accuracy,arch1,DLN,AE,0.5342,
,,Jirayucharoensak2014,emotion classification (arousal),accuracy,trad1,SVM,,0.3902,
,,Jirayucharoensak2014,emotion classification (arousal),accuracy,trad2,NB-230,,0.3313,
,,Jirayucharoensak2014,emotion classification (arousal),accuracy,trad3,NB-weighted,,0.51,
,,Jirayucharoensak2014,emotion classification (arousal),accuracy,arch1,DLN,AE,0.5203,
,A deep learning method for classification of EEG data based on motor imagery,An2014,motor imagery,accuracy,arch1,DBN,DBM,0.8063,Read from graph and averaged by hand across subjects
,,An2014,motor imagery,accuracy,trad1,SVM,,0.7675,
,Single-trial classification of ERPs in rapid serial visual presentation tasks using supervised spatial filtering,Cecotti2014,RSVP classification,auc,,,,,No accuracy
,Using convolutional neural networks to recognize rhythm stimuli from EEG recordings,Stober2014,musical rhythm classification,accuracy,arch1,CNN-1bar,CNN,0.358,"More results, but without baseline"
,,Stober2014,musical rhythm classification,accuracy,trad1,SVM-1 bar,,0.243,
,Deep Belief Networks used on High Resolution Multichannel Electroencephalography Data for Seizure Detection,Turner2014,seizure detection,f1-score,,,,,No accuracy
,,,,,,,,,
,Affective state recognition from EEG with deep belief networks,Li2013,emotion classification,auc,,,,,No accuracy
,Automated Classification of L/R Hand Movement EEG Signals using Advanced Feature Extraction and Machine Learning,Alomari2013,motor imagery,accuracy,arch1,NN,FC,0.8174,averaged across feature sets by hand
,,Alomari2013,motor imagery,accuracy,trad1,SVM,,0.8841,
,Energy Distribution of EEG Signals: EEG Signal Wavelet-Neural Network Classifier,Omerhodzic2013,seizure detection,accuracy,arch1,model,FC,0.94,
,,,,,,,,,
,Sleep stage classification using unsupervised feature learning,Langkvist2012,sleep staging,accuracy,arch1,feat-DBN,DBN,0.722,
,,Langkvist2012,sleep staging,accuracy,arch2,raw-DBN,DBN,0.674,
,,Langkvist2012,sleep staging,accuracy,trad1,feat-FOHMM,,0.639,
,,,,,,,,,
,Convolutional neural networks for P300 detection with application to BCIs,Cecotti2011,ERP,accuracy,trad1,Hoffmann,,0.895,
,,Cecotti2011,ERP,accuracy,trad2,Zongtan,,0.905,
,,Cecotti2011,ERP,accuracy,trad3,Yandong,,0.905,
,,Cecotti2011,ERP,accuracy,trad4,mLVQ,,0.915,
,,Cecotti2011,ERP,accuracy,trad5,LDA,,0.92,
,,Cecotti2011,ERP,accuracy,trad6,ESVM,,0.965,
,,Cecotti2011,ERP,accuracy,arch1,CNN-1,CNN,0.945,
,,Cecotti2011,ERP,accuracy,arch2,MCNN-1,CNN,0.955,
,Modeling EEG waveforms with semi-supervised deep belief nets: fast classification and anomaly measurement,Wulsin2011,Anomaly detection,f1-score,,,,,No accuracy
,Single-trial EEG Discrimination between Wrist and Finger Movement Imagery and Execution in a Sensorimotor BCI,Mohamed2011,motor imagery,accuracy,trad1,MDC,,0.65,
,,Mohamed2011,motor imagery,accuracy,arch1,ANN,FC,0.71,
,,,,,,,,,
,Analysis and classification of EEG signals using spectral analysis and recurrent neural networks,Naderi2010,seizure detection,accuracy,arch1,RNN,RNN,1,
,,Naderi2010,seizure detection,accuracy,dl1,MLPNN,,0.9893,
,,Naderi2010,seizure detection,accuracy,dl2,NN,,0.972,
,,Naderi2010,seizure detection,accuracy,trad1,Wavelet,,0.9483,
,EEG discrimination using wavelet packet transform and a reduced-dimensional recurrent neural network,Bu2010,motor imagery,accuracy,arch1,model,RNN,0.7858,averaged across subjects and task